headline,true_label,predicted_label,confidence,true_label_prob,original_headline
borumba dam upgrade will not include storage boost,negative,positive,0.8698,0.0027,borumba dam upgrade wont include storage boost
talk free south korean hostage fail taliban,neutral,negative,0.5824,0.0017,talks to free south korean hostages have failed taliban
ukrainian villager recall horror mh17 debris,negative,neutral,0.5247,0.4669,ukrainian villagers recall horror of mh17 debris
funding teenager program question,negative,neutral,0.9039,0.0805,funding for teenagers program questioned
gold coast sun give number draft pick assistance pack,positive,neutral,0.8063,0.1674,gold coast suns giving number one draft pick as assistance pack
nz cricket coach sure world cup final rule review,positive,neutral,0.9335,0.0375,nz cricket coach sure world cup final rules will be reviewed
abbott concern wife job,negative,neutral,0.8819,0.0704,abbott has no concerns over wifes job
north coast police stun gun,neutral,negative,0.7497,0.2355,north coast police to get stun guns
porter reach senate crossbench family tax change,positive,negative,0.4137,0.3771,porter reaches out to senate crossbench on family tax changes
museum lament limit public interest,negative,positive,0.7682,0.2317,museum laments limited public interest
howard back decision endorse towke,negative,positive,0.5032,0.4968,howard backs decision to not endorse towke
investor want stability democracy indonesia,positive,neutral,0.6835,0.271,investors want stability not democracy indonesia
leave awa answer,negative,neutral,0.6161,0.3056,take it or leave it awas not the answer
pacific highway work suspend weekend,negative,neutral,0.5515,0.4419,pacific highway work suspended over weekend
unhealthy eating habit new normal victorian study,negative,neutral,0.5963,0.3452,unhealthy eating habits the new normal for victorians study
nursing job cut breach promise sa opposition,neutral,negative,0.5794,0.0017,nursing job cuts breach promise sa opposition
reborn anasta relishing switch,positive,neutral,0.7813,0.0199,reborn anasta relishing switch
council find sea change overwhelm,neutral,positive,0.5776,0.1199,councils find sea change overwhelming
evidence potential hiv epidemic health dept,negative,neutral,0.823,0.1534,no evidence of potential hiv epidemic health dept
human warming interfere ancient climate,positive,neutral,0.784,0.1491,human warming interferes with ancient climate
lightning spark new bushfire,neutral,positive,0.6758,0.2815,lightning sparks new bushfires
great scrutiny nsw crime commission,negative,positive,0.8062,0.1931,greater scrutiny for nsw crime commission
labor commit idea vicroad relocation,positive,neutral,0.6859,0.2574,labor still committed to idea of vicroads relocation
bali case hand prosecutor,neutral,positive,0.6049,0.3709,bali nine cases handed to prosecutors
june verdict peter greste trial,positive,neutral,0.4106,0.2116,june 23 verdict in peter greste trial
royal commission death custody,neutral,negative,0.7951,0.2036,call for royal commission into deaths in custody
home owner hit flood pay repair,positive,neutral,0.6228,0.0074,home owners hit by floods will not pay for repairs
aboriginal woman likely die,negative,neutral,0.7075,0.2645,aboriginal women more likely to die during
fleme century put nz,positive,neutral,0.7758,0.1472,fleming century puts nz on top
epa extend contamination monitoring opposition say,positive,neutral,0.7243,0.1979,epa must extend contamination monitoring opposition says
strange jellyfish spot coff harbour marina,negative,neutral,0.6079,0.3298,strange jellyfish spotted at coffs harbour marina
flood assistance extend,neutral,positive,0.5852,0.4008,flood assistance extended
doctor pay qld health quit,neutral,negative,0.7427,0.1656,doctor still paid by qld health after quitting
olympics preparation advanced aoc,positive,neutral,0.7129,0.1124,olympics preparations well advanced aoc
kathy jackson trial delay mental health issue,negative,neutral,0.6921,0.2968,kathy jackson trial delayed due to mental health issues
norfolk islander happy count,negative,positive,0.8932,0.0782,norfolk islanders not too happy to be counted as
comedian rob brydon prepare stand tour,negative,positive,0.7524,0.2155,comedian rob brydon preparing for a stand up tour
approval build rare earth process plant near hall creek,positive,neutral,0.6891,0.2785,approval to build rare earths processing plant near halls creek
review recommend change adoption law,positive,neutral,0.4827,0.3747,review recommends changes to adoption laws
japan prepare release flavell black,positive,neutral,0.8903,0.084,japan prepared to release flavell for all black
search fisherman brisbane extend,neutral,positive,0.6353,0.3094,search for fisherman off brisbane extended
roar league spot,positive,neutral,0.5094,0.4096,roar keep w league top spot
officer question philippine military,negative,neutral,0.7922,0.1993,more officers questioned over philippine military
fund seek shoot film mildura,negative,neutral,0.8589,0.0492,funds sought to shoot film in mildura
activist slam stem cell conscience vote,negative,neutral,0.7593,0.2255,activists slam stem cells conscience vote
suicidal patient send home mental health ward,negative,neutral,0.9146,0.0473,suicidal patient sent home because mental health wards were full
bus penalty adelaide public transport,neutral,negative,0.7577,0.1948,bus penalties adelaide public transport
council give final approval mayor car yard,positive,neutral,0.5782,0.4136,council gives final approval to mayors car yard
tasmanian remember fall,negative,neutral,0.8658,0.0682,tasmanians remember the fallen
reprieve sight flood hit qld,negative,neutral,0.9397,0.0364,no reprieve in sight for flood hit n qld
zimbabwe track clear imf debt report,neutral,negative,0.5791,0.0018,zimbabwe on track to clear imf debt report
lightfoot tight lipped day contradiction,negative,neutral,0.9368,0.0479,lightfoot tight lipped after day of contradictions
natuna island fisherman protection disputed sea,negative,neutral,0.877,0.0924,natuna island fishermen call for protection of disputed seas
pm back fair pay commission chief,positive,negative,0.5246,0.4753,pm backs fair pay commission chief
robe prepare blessing fleet,positive,neutral,0.8363,0.1528,robe prepares for blessing of the fleet
storm hunt gallant rabbitohs,positive,neutral,0.9509,0.0282,storm hunts down gallant rabbitohs
thailand soldier mass shooting vigil pray victim local shelter,neutral,negative,0.5953,0.2251,thailand soldier mass shooting vigil pray victims locals shelter
govt urge reconsider livestock water ban,negative,neutral,0.7777,0.1997,govt urged to reconsider livestock water ban
coronavirus thwart jock palfreeman trip brussels,negative,neutral,0.7318,0.1839,coronavirus thwarts jock palfreeman trip to brussels
mother jail have sex son friend,neutral,positive,0.7106,0.0192,mother jailed for having sex with sons friend
research show delta variant virulent think,negative,neutral,0.9554,0.0298,research shows delta variant more virulent than thought
triple app launch,positive,neutral,0.916,0.0528,triple 0 app launched
remarkable recovery meare head beijing,positive,neutral,0.9123,0.0248,remarkable recovery meares heading to beijing
decision future season goode,negative,neutral,0.8757,0.0924,no decision on my future until after season: goodes
conservation council nation fracke ban,neutral,negative,0.8034,0.1932,conservation council and one nation at one on fracking bans
black saturday compensation delay maurice blackburn,negative,neutral,0.546,0.4398,black saturday compensation delayed by maurice blackburn
torre strait inaction not reflect,negative,neutral,0.5882,0.3801,torres strait inaction doesnt reflect on
boko haram rob education hrw,neutral,negative,0.7382,0.2418,boko haram robbed 1 million of education: hrw
joyce will not block labor ir change,positive,negative,0.8524,0.0555,joyce wont block labor ir changes
craig bellamy draw nrl breach notice,negative,neutral,0.8668,0.0853,craig bellamy no show draws nrl breach notice
nsw commissioner roger respond bully claim rfs,negative,neutral,0.8312,0.1246,nsw commissioner rogers responds to bullying claims at rfs
bunny catch fade dragon hop,neutral,positive,0.7443,0.2518,bunnies catch fading dragons on the hop
report recommend racial vilification complaint refer,negative,positive,0.6139,0.3859,report recommends racial vilification complaints be referred to
senate seat doubt pup party,positive,negative,0.5179,0.4804,third senate seat in doubt for pup party
mourners farewell etta james,negative,neutral,0.9074,0.0567,mourners farewell etta james
year wiluna pub closed alcohol issue increase,positive,neutral,0.6445,0.2799,a year after wilunas pub closed alcohol issues have increased
shanghais low key gay pride week kick,positive,negative,0.8404,0.1302,shanghais low key gay pride week kicks off
kerrie scott tiani cook isolated children parent association,negative,neutral,0.9341,0.0412,kerrie scott tiani cook isolated childrens parents association
north west police begin pay campaign,negative,neutral,0.6898,0.297,north west police begin pay campaign
wanderer mitch nichols cite rude gesture,negative,neutral,0.69,0.217,wanderers mitch nichols cited for rude gesture
obama promise take swine flu,neutral,positive,0.5138,0.0004,obama promises whatever it takes on swine flu
allege white extremist treason trial,negative,neutral,0.9226,0.0668,alleged white extremists in treason trial
inmate admit risdon jail siege involvement,positive,negative,0.6154,0.33,more inmates admit to risdon jail siege involvement
liverpool look home comfort,positive,neutral,0.495,0.3837,liverpool look for home comfort
labor minister henderson despite shock poll,positive,negative,0.8279,0.1477,labor ministers back henderson despite shock poll
figure cent drop sydneys live music revenue,negative,neutral,0.6443,0.2823,figures show 40 per cent drop in sydneys live music revenue
retail sector tackle fall dollar expand competition,negative,neutral,0.5864,0.0979,retail sector tackling falling dollar expanding competition
anglicare sydney victim cyber security breach involve datum,positive,negative,0.7398,0.2506,anglicare sydney victim of cyber security breach involving data
queensland sugar mill delay cost million gold coast,neutral,negative,0.5208,0.4396,queensland sugar mill delays cost millions gold coast
woman intellectual disability workforce employment job,positive,neutral,0.7396,0.0338,women intellectual disabilities workforce employment job
livestock exporter investigation mass sheep death,neutral,negative,0.7619,0.2342,livestock exporter under investigation for mass sheep deaths
chinese fighter conduct unsafe intercept patrol pentagon,negative,neutral,0.4331,0.3366,chinese fighters conduct unsafe intercept of us patrol pentagon
chase driver licence clothe,negative,neutral,0.87,0.0936,chased driver had no licence or clothes
injure worker access extra benefit,neutral,positive,0.8069,0.0021,injured workers to access extra benefits
lie cleric sack school canteen,negative,neutral,0.4963,0.4873,lying cleric sacked from school canteen
storm devastate barley profit,negative,positive,0.5073,0.4927,storms devastate barley profits
joyce urge relaxed restriction adler shotgun,positive,neutral,0.7375,0.2221,joyce urges more relaxed restrictions on adler shotgun
nude protest crowd warm san fermin,neutral,negative,0.6213,0.0003,nude protests as crowds warm up for san fermin
stern hu investigation extend,neutral,positive,0.5292,0.4619,stern hu investigation extended
cattle death,neutral,negative,0.9852,0.0146,cattle deaths
nutrient find australian canola treat eye condition,positive,neutral,0.5574,0.4155,nutrients found in australian canola used to treat eye condition
storm cause traffic train delay,neutral,negative,0.7121,0.2722,storms cause traffic train delays
man steal mail forge identity,neutral,negative,0.9592,0.0368,men stole mail forged identities
global domination,negative,neutral,0.8719,0.0387,global domination
bull face tricky task,negative,neutral,0.925,0.064,bulls facing tricky task
police hunt griffith robber,negative,neutral,0.5284,0.4046,police hunt griffith robber
sorenstam fit emotionally drain british,negative,positive,0.8944,0.0925,sorenstam fit but emotionally drained for british
dog cat management law face deadlock conference,negative,neutral,0.8959,0.0889,dog and cat management laws could face deadlock conference
china tell bully sri lanka ahead pompeo visit,positive,negative,0.5115,0.0403,china tells us not to bully sri lanka ahead of pompeo visit
vaping hard australia,neutral,negative,0.9115,0.0695,why vaping might get harder in australia
man strangle bury nagging partner,negative,neutral,0.5267,0.4181,man strangled buried nagging partner
arrium union member turn administrator pay offer,negative,neutral,0.554,0.4217,arrium union members turn down administrators pay offer
indonesia tell region prepare spy leak,neutral,negative,0.8557,0.1097,indonesia tells region to prepare for more spying leaks
azarenka force withdraw dubai open,negative,neutral,0.7118,0.2726,azarenka forced to withdraw from dubai open
follow farmer video highlight paddock plate action,positive,neutral,0.7823,0.1581,follow the farmer videos highlight paddock to plate in action
security detention centre soft mla,neutral,negative,0.8671,0.0027,security at detention centre too soft mla
wa musician spend hour carve violin hand,positive,neutral,0.8478,0.1169,wa musician spends 400 hours carving violins by hand
bed age veteran,negative,neutral,0.8531,0.0786,no beds for ageing veterans
opposition iraq withdrawal plan question,negative,neutral,0.8358,0.1535,opposition iraq withdrawal plans questioned
mango rash case katherine hospital season,negative,neutral,0.9286,0.0428,mango rash cases at katherine hospital down this season
sunshine coast storms damage home,neutral,positive,0.5613,0.0005,sunshine coast storms damage homes
strong wind cause damage,neutral,positive,0.51,0.0,strong winds cause damage
federal police raid indigenous paper leak,negative,neutral,0.4967,0.4936,federal police raid indigenous paper over leaked
gold coast election result undecided,negative,neutral,0.8498,0.1059,gold coast election result undecided
sea eagle sluggish start,negative,neutral,0.9154,0.0233,sea eagles make sluggish start
guarantee computer school cost,negative,neutral,0.4493,0.446,no guarantee on computers in schools costs
britain pay mother breastfeed,neutral,negative,0.7092,0.271,britain pays mothers to breastfeed
banana growers council want biosecurity change,negative,neutral,0.8853,0.0487,banana growers council does not want biosecurity changes
remarkable day australian politic,positive,neutral,0.9328,0.0168,a remarkable day in australian politics
disability advocate humiliate degrade bruised sydney hospital,negative,neutral,0.8339,0.1283,disability advocate humiliated degraded bruised sydney hospital
island health service adequate campbell,positive,neutral,0.842,0.0784,island health services adequate campbell
expert slam need cage boy wth autism canberra school,negative,neutral,0.8175,0.1574,experts slam need to cage boy wth autism at canberra school
union fight public sector wage boost,neutral,negative,0.8343,0.0018,union fights for public sector wage boost
wool welfare demand affect grower,neutral,negative,0.8924,0.0836,wool welfare demands to affect growers
factional dalek refuse respond,negative,neutral,0.4877,0.4772,factional daleks refuse to respond
navy captain steal medal replace,neutral,negative,0.9644,0.0193,navy captains stolen medal replaced
road safety panel take action reduce danger,negative,positive,0.7735,0.2241,road safety panel takes action to reduce danger
mobile classroom help young offender tasmania,negative,positive,0.6577,0.3397,mobile classroom helping young offenders in tasmania
sa find irreversible unfit screen,negative,neutral,0.9534,0.0201,sa finds irreversible unfit for screen
biofuel use drop,neutral,negative,0.5685,0.3721,biofuel use drops for 201112
kathryn campbell accept people die robodebt,negative,positive,0.6245,0.3728,kathryn campbell does not accept people have died over robodebt
asylum seeker hospitalise disturbance,negative,neutral,0.8522,0.1079,asylum seekers hospitalised after disturbance
leak reveal tobacco blitz,neutral,negative,0.7802,0.2102,leaks reveal 9m tobacco blitz
reddit apolgise boston witch hunt,negative,neutral,0.9117,0.01,reddit apolgises for boston witch hunt
leader pay tribute thorpe swimming legacy,negative,neutral,0.8242,0.1634,leaders pay tribute to thorpes swimming legacy
husting leadership coup boat obsession,negative,neutral,0.9658,0.0184,off the hustings leadership coups and boats obsession
massive turnout walk warming,positive,neutral,0.4693,0.3946,massive turnout for walk against warming
hiv positive man charge child sex act,positive,negative,0.6333,0.3647,hiv positive man charged over child sex acts
riewoldt break saint echelon,positive,neutral,0.858,0.0445,riewoldt breaks into saints top echelon
boyer mill eric luck say production drop cent,positive,negative,0.506,0.4451,boyer mill eric luck says production dropped 50 per cent in may
manly veteran matt ballin expect sea eagle repay faith,positive,neutral,0.6078,0.3799,manly veteran matt ballin expects sea eagles to repay his faith
market end horror year positive note,neutral,positive,0.5559,0.02,markets end horror year on positive note
council back riddell creek supermarket,neutral,negative,0.932,0.061,council still backing riddells creek supermarket
award police shoot victim,positive,negative,0.5957,0.4043,8m awarded to police shooting victim
hewitt crash florida,neutral,negative,0.6854,0.309,hewitt crashes out in florida
scream sell record dollar,negative,neutral,0.9569,0.0134,the scream sells for record 120 million dollars
shire back responsible rail repair,positive,negative,0.505,0.4909,shire backs responsible rail repairs
raider not pay prank monaghan,positive,negative,0.581,0.0092,raiders shouldnt pay for prank monaghan
chappell appoint centre excellence coach,positive,neutral,0.9387,0.0487,chappell appointed centre of excellence coach
iraqi sunni mosque bomb near shiite city,neutral,negative,0.6889,0.3052,iraqi sunni mosque bombed near shiite city
shit town australia facebook page,negative,neutral,0.8713,0.0869,shit towns of australia facebook page
police hunt armed robber,neutral,negative,0.6239,0.3703,police hunt armed robbers
export industry catch horrific footage,negative,neutral,0.7871,0.201,export industry caught out by horrific footage
france say assad talk scandalous gift,negative,neutral,0.5599,0.007,france says assad talks would be a scandalous gift to is
southern california fire force thousand flee home,neutral,negative,0.9216,0.0673,southern california fires forces thousands to flee homes
jericho want budget story half,positive,neutral,0.4103,0.3782,jericho we want the whole budget story; not just half
sentence hand mps conspiracy case,negative,positive,0.7044,0.2838,sentences handed down to mps in conspiracy case
tasman bridge safety question cyclist crash,negative,positive,0.6837,0.3064,tasman bridge safety questioned after cyclist crash
snake bite victim take hospital,negative,neutral,0.5815,0.3891,snake bite victim taken to hospital
health dept ceo urge flexible eba,positive,neutral,0.9036,0.0308,health dept ceo urged to be more flexible in eba
cctv show police drag woman,neutral,negative,0.9178,0.0604,cctv shows police dragging a woman
mp iain evan question sa government,neutral,negative,0.4656,0.4002,mp iain evans questions why the sa government has
virgin compensate passenger delay,neutral,negative,0.6311,0.3592,virgin compensates passengers for delays
politician pay hearing closed door,negative,neutral,0.5859,0.3964,politician pay hearing behind closed doors
trade deficit takes glos growth figure,neutral,negative,0.751,0.0003,trade deficit takes gloss off growth figures
virgin politician abbotts tell honesty,positive,neutral,0.8099,0.1017,the virgin politician abbotts telling honesty
rooster largely intact wcc,positive,neutral,0.8313,0.1157,roosters largely intact for wcc
ship wreck survivor arrive chile,negative,neutral,0.6786,0.243,ship wreck survivors arrive in chile
police want light shed schoolie,positive,neutral,0.772,0.1607,police want light shed on schoolies
modification teralba da defer,neutral,negative,0.5906,0.3318,modifications for teralba da deferred
jeffrey epstein sex crime probe launch france,positive,negative,0.6524,0.2848,jeffrey epstein sex crimes probe launched in france
orwell brave new world network dark future prediction,positive,neutral,0.5529,0.4276,orwell 1984 brave new world network dark future predictions
law change need allow lang park cyclone,positive,neutral,0.813,0.1267,law change needed to allow lang park cyclone
alp underworld sponsorship embarrassment,negative,neutral,0.9357,0.0375,alp in underworld sponsorship embarrassment
grafton jail,neutral,negative,0.7103,0.2837,grafton jail
sewage hit fan coli close beach,positive,neutral,0.8803,0.0899,sewage hits fan as e coli closes beaches again
kemosabe racist court rule,positive,negative,0.9461,0.0011,kemosabe not racist court rules
not federal play thing chief minister,negative,positive,0.8744,0.0285,nt not a federal play thing chief minister
banking royal commission damn asic report nab release,negative,neutral,0.5603,0.4084,banking royal commission damning asic report into nab released
bendigo kangan tafe suspend plan redundancy,neutral,negative,0.6784,0.3164,bendigo kangan tafe suspends planned redundancies
wa slashes stamp duty,negative,neutral,0.7424,0.1156,wa slashes stamp duty
weather bureau urge people stay alert,neutral,positive,0.6928,0.2654,weather bureau urges people to stay across alerts
global share market stress,negative,positive,0.5876,0.4113,global share markets still under stress
airline agree slash emission,positive,negative,0.6231,0.3759,airlines agree to slash emissions
qld resources council comfortable abbotts election ag,positive,neutral,0.8398,0.0856,qld resources council comfortable with abbotts election ag
claim gag climate expert,neutral,negative,0.6684,0.1077,claims us gagging climate expert
france bomb hideout mali insurgency deepen,neutral,negative,0.7069,0.2899,france bombs hideout as mali insurgency deepens
sophisticated bomb mark iraq attack,positive,negative,0.9986,0.0003,more sophisticated bombs mark iraq attacks us
plan senate republicans want,positive,neutral,0.7104,0.2187,the plan senate republicans want to keep under the
support urge motherland south china sea dispute,neutral,negative,0.6897,0.0069,support urged for motherland in south china sea dispute
multiple death far north queensland bruce highway,neutral,negative,0.6439,0.3491,multiple deaths on far north queensland bruce highway
defeat dim clijsterss hope fairytale finish,negative,positive,0.7493,0.2506,defeat dims clijsterss hopes of fairytale finish
kewell send frantic half,negative,neutral,0.9291,0.0347,kewell sent off in frantic first half
woodward wary scot lose,positive,negative,0.9694,0.0059,woodward wary of scots with nothing to lose
local mayor join landcare review,positive,neutral,0.7194,0.2666,local mayor to join landcare review
albanese say covid expose flaw australian,negative,neutral,0.5326,0.4235,albanese says covid 19 exposed flaws in australian
act government move expand ministry,positive,neutral,0.66,0.3104,act government moves to expand ministry
un call easing blockade yemens main airport,positive,neutral,0.7049,0.1806,un calls for easing of blockade on yemens main airport
police investigate 200k cannabis grow operation,positive,neutral,0.7702,0.0983,police investigate 200k cannabis growing operation
child accidentally lock car,negative,neutral,0.9347,0.0397,five children accidentally locked in cars
cowra fire,neutral,negative,0.945,0.0534,cowra fires
coronavirus vaccine question answer,positive,neutral,0.913,0.0343,your top coronavirus vaccine questions answered
place vaughan england squad,negative,neutral,0.52,0.3773,no place for vaughan in england squad
moody put final future,negative,neutral,0.9244,0.0323,moody puts finals first future second
iran say incentive offer insignificant,neutral,positive,0.9497,0.0244,iran says us incentives offer insignificant
swan drub dreadful demon,negative,neutral,0.9317,0.054,swans drub dreadful demons
study find hospital communication lack,neutral,negative,0.8079,0.1825,study finds hospital communication lacking
big fresh potato import,neutral,positive,0.9218,0.0617,a big no to fresh potato imports
jackson quiet court jubilant web,positive,neutral,0.9677,0.0165,jackson quiet in court but jubilant on web
badly burn not man transfer adelaide,negative,neutral,0.5643,0.3965,badly burnt nt man transferred to adelaide
putin unconvince missile shield,negative,neutral,0.8587,0.0631,putin unconvinced on us missile shield
taiwan golden melody award censor china hong kong protest,positive,negative,0.5947,0.405,taiwan golden melody awards censored by china hong kong protest
fisherman set join political circle,positive,neutral,0.6952,0.2953,fishermen set to join political circle
coroner slam highway upgrade delay,neutral,negative,0.7698,0.2015,coroner slams highway upgrade delays
push remove reference god wattle range,positive,neutral,0.8939,0.0393,push to remove references to god in wattle range
bank deposit guarantee,neutral,positive,0.437,0.1544,bank deposits guaranteed
call government count asylum seeker death,neutral,negative,0.7528,0.243,calls for government to keep count of asylum seeker deaths
darwin pitch bamboozle aussie batsman,negative,neutral,0.819,0.0133,darwin pitch bamboozles aussie batsmen
afl player agree new pay deal,positive,negative,0.5592,0.4396,afl and players agree to new pay deal
indonesian ferry captain question,negative,neutral,0.7764,0.2152,indonesian ferry captain questioned
ontzinc determine buy pasminco,positive,neutral,0.5533,0.4012,ontzinc determined to buy pasminco
plan merger achievable vaile say,negative,neutral,0.6665,0.2326,planned merger not achievable vaile says
dolphin die broome beach stranding,negative,neutral,0.8513,0.1245,five dolphins die after broome beach stranding
councillor undecided angas court peppercorn tree,negative,neutral,0.8964,0.0645,councillors undecided about angas court peppercorn tree
pirlo penalty calm milan jangle nerve,negative,positive,0.6476,0.3508,pirlos penalty calms milans jangling nerves
firefighter control tallangatta fire,neutral,negative,0.9289,0.07,firefighters control tallangatta fires
swan contradictory economy turnbull,negative,neutral,0.9095,0.0608,swan contradictory on economy turnbull
pentagon confirm atleast dozen missile launch iran,positive,neutral,0.9172,0.0482,pentagon confirms atleast a dozen missiles launched from iran
rain mixed blessing north coast fire,positive,negative,0.7027,0.0072,rain a mixed blessing for north coast fires
pokie revenue aid needy,negative,neutral,0.8514,0.0614,pokie revenue to aid needy
ultrasound machine help injured wildlife,neutral,positive,0.5865,0.0856,ultrasound machines to help injured wildlife
rare delicate dinosaur kind find australia,positive,neutral,0.9488,0.0193,rare delicate dinosaur first of its kind found in australia
die old age,negative,neutral,0.6563,0.2735,can you die from old age
charge lay lord mayor,neutral,negative,0.8559,0.1292,fourth charge laid against lord mayor
wa intervene save electric car,positive,neutral,0.5092,0.4846,wa intervenes to save electric car
efficient housing focus aboriginal land council new,positive,neutral,0.9031,0.0541,efficient housing a focus for aboriginal land council's new w
south korea agree mission swap troop withdrawal,positive,neutral,0.6096,0.3849,us south korea agree mission swap troop withdrawal
share fall fed yellen warn overvaluation,positive,negative,0.502,0.4967,us shares fall as fed yellen warns on overvaluation
barge set begin clear alaska coastline tsunami debris,neutral,positive,0.6679,0.2937,barge set to begin clearing alaska coastline of tsunami debris
grim outlook murray darling basin,neutral,positive,0.8576,0.0011,grim outlook for murray darling basin
etheridge budget recognise grazier hardship,negative,neutral,0.9066,0.0422,etheridge budget recognises graziers hardship
fresh parole order rapist mohame sanoussi,negative,positive,0.6535,0.3387,fresh parole order for rapist mohamed sanoussi
